globalid,ingestion_time,icao_address,timestamp,latitude,longitude,altitude_baro,heading,speed,vertical_rate,squawk,on_ground,callsign,tail_number,collection_type,flight_number,aircraft_type_icao,aircraft_type_name,airline_iata,airline_name,departure_utc_offset,departure_airport_icao,departure_airport_iata,departure_scheduled_time,takeoff_time,arrival_utc_offset,arrival_airport_icao,arrival_airport_iata,arrival_scheduled_time,arrival_estimated_time
{A2889C32-DDF6-47CC-AE62-A4403A94A9BC},2023-02-01T17:06:38.519Z,A45F94,2/1/2023 5:06:35 PM,37.057617,-122.199759,9675,148.43594,287.3,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{B171B65E-8532-4FDB-A68C-A7045AD6586E},2023-02-01T17:06:42.170Z,A45F94,2/1/2023 5:06:38 PM,37.054459,-122.197363,9625,148.81012,287.3,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{B3692E22-C440-4534-ADD4-E14E4CEDDDC1},2023-02-01T17:06:42.086Z,AD7E17,2/1/2023 5:06:38 PM,37.535768,-122.453136,6725,178.71509,166,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{BA697438-017B-418A-9197-8B56E61DBB65},2023-02-01T17:06:44.439Z,A8E72B,2/1/2023 5:06:40 PM,37.357938,-121.9293,87,148.38605,0,,4542,-1,N673DC,N673DC,terrestrial,,E50P,Embraer EMB 500 Phenom 100,,,-800,KMRY,MRY,,2023-02-01T16:41:42Z,-800,KSJC,SJC,,
{457666B8-C658-4C23-AC0F-E7D7CC7593B1},2023-02-01T17:06:44.443Z,AD7E17,2/1/2023 5:06:41 PM,37.533371,-122.453087,6725,179.08507,166,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{1648C79D-EF12-462C-93C7-04DA57BA8C34},2023-02-01T17:06:45.489Z,A8E72B,2/1/2023 5:06:43 PM,37.357938,-121.9293,87,148.38605,0,,4542,-1,N673DC,N673DC,terrestrial,,E50P,Embraer EMB 500 Phenom 100,,,-800,KMRY,MRY,,2023-02-01T16:41:42Z,-800,KSJC,SJC,,
{0DA2A430-220C-460B-B5D2-E4943D42459C},2023-02-01T17:06:47.912Z,AD7E17,2/1/2023 5:06:44 PM,37.530121,-122.453029,6725,179.1836,166,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{F09B3F6D-574D-42F9-B3D5-E0E4AECCD556},2023-02-01T17:06:48.091Z,A45F94,2/1/2023 5:06:44 PM,37.047342,-122.191912,9525,148.56131,288.1,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
{0FC0C6BB-86CD-493D-87B2-A960C83AC8C9},2023-02-01T17:06:50.130Z,AD7E17,2/1/2023 5:06:47 PM,37.528885,-122.453029,6725,180,160,,4561,0,PCM8679,N969FE,terrestrial,,C208,Cessna 208B Super Cargomaster,,Westair Industries Inc  ( Chico Ca ),-800,KOAK,OAK,,2023-02-01T16:55:31Z,-800,KMRY,MRY,,
{2EC9FC01-2526-44A2-AB12-8854236505D5},2023-02-01T17:06:50.318Z,A45F94,2/1/2023 5:06:47 PM,37.04371,-122.189165,9475,148.87852,288.1,,4223,0,LXJ381,N381FX,terrestrial,,E55P,Embraer EMB 505 Phenom 300,,FlexJet,-800,KSFO,SFO,,2023-02-01T16:56:22Z,-800,KMRY,MRY,,
